date,nav
2023-10-10,150.85630
2023-10-09,149.68450
2023-10-06,151.72000
2023-10-05,151.05840
2023-10-04,150.84800
2023-10-03,151.72950
2023-09-29,151.24970
2023-09-27,151.75530
2023-09-26,151.15260
2023-09-25,151.19660
2023-09-22,151.25970
2023-09-21,150.82720
2023-09-20,152.93130
2023-09-18,152.70610
2023-09-15,153.19300
2023-09-14,153.13890
2023-09-13,151.90550
2023-09-12,151.65830
2023-09-11,154.99080
2023-09-08,153.84310
2023-09-07,153.15100
2023-09-06,151.61470
2023-09-05,151.76550
2023-09-04,151.57480
2023-09-01,150.41260
2023-08-31,150.23060
2023-08-30,149.28840
2023-08-29,148.56920
2023-08-28,148.10740
2023-08-25,147.08850
2023-08-24,147.62330
2023-08-23,147.66660
2023-08-22,147.42070
2023-08-21,145.96920
2023-08-18,145.49760
2023-08-17,145.50100
2023-08-16,145.84700
2023-08-14,145.33910
2023-08-11,145.58810
2023-08-10,145.47230
2023-08-09,146.32930
2023-08-08,145.50020
2023-08-07,145.72720
2023-08-04,145.71290
2023-08-03,145.07950
2023-08-02,145.42340
2023-08-01,146.74570
2023-07-31,146.15820
2023-07-28,144.58240
2023-07-27,143.83590
2023-07-26,143.61880
2023-07-25,143.18630
2023-07-24,143.18320
2023-07-21,142.80640
2023-07-20,143.06150
2023-07-19,142.43170
2023-07-18,141.89480
2023-07-17,142.20500
2023-07-14,141.09830
2023-07-13,140.34480
2023-07-12,140.80360
2023-07-11,139.90540
2023-07-10,139.47430
2023-07-07,139.51120
2023-07-06,139.62780
2023-07-05,138.95790
2023-07-04,138.28760
2023-07-03,138.67420
2023-06-30,138.08830
2023-06-28,137.56100
2023-06-27,137.51730
2023-06-26,137.17380
2023-06-23,136.35240
2023-06-22,137.25140
2023-06-21,137.85180
2023-06-20,137.38780
2023-06-19,137.02580
2023-06-16,137.26180
2023-06-15,136.67750
2023-06-14,136.54230
2023-06-13,135.98440
2023-06-12,134.70180
2023-06-09,134.11180
2023-06-08,134.56460
2023-06-07,134.98550
2023-06-06,133.57340
2023-06-05,133.11770
2023-06-02,132.61400
2023-06-01,132.33410
2023-05-31,132.29130
2023-05-30,131.90120
2023-05-29,131.71390
2023-05-26,131.58210
