date,nav
2021-10-20,131.34370
2021-10-18,131.36860
2021-10-14,131.36030
2021-10-13,131.35820
2021-10-12,131.29810
2021-10-11,131.25620
2021-10-08,131.23350
2021-10-07,131.22650
2021-10-06,131.24590
2021-10-05,131.26160
2021-10-04,131.30940
2021-10-01,131.23930
2021-09-30,131.25260
2021-09-29,131.23280
2021-09-28,131.30440
2021-09-27,131.25800
2021-09-24,131.26940
2021-09-23,131.35540
2021-09-22,131.35130
2021-09-21,131.33160
2021-09-20,131.32220
2021-09-17,131.25910
2021-09-16,131.23450
2021-09-15,131.19960
2021-09-14,144.12510
2021-09-13,144.11180
2021-09-09,144.05740
2021-09-08,144.02750
2021-09-07,144.00420
2021-09-06,144.01480
2021-09-03,143.96990
2021-09-02,143.94440
2021-09-01,143.87460
2021-08-31,143.79840
2021-08-30,143.75350
2021-08-27,143.62770
2021-08-26,143.58930
2021-08-25,143.58530
2021-08-24,143.56290
2021-08-23,143.55970
2021-08-20,143.51640
2021-08-18,143.48180
2021-08-17,143.36960
2021-08-13,143.23920
2021-08-12,143.13600
2021-08-11,143.06250
2021-08-10,143.04860
2021-08-09,142.96610
2021-08-06,142.91000
2021-08-05,143.02100
2021-08-04,142.96470
2021-08-03,142.94040
2021-08-02,142.90050
2021-07-30,142.83900
2021-07-29,142.81840
2021-07-28,142.80060
2021-07-27,142.77470
2021-07-26,142.71900
2021-07-23,142.62180
2021-07-22,142.62390
2021-07-20,142.62130
2021-07-19,142.56540
2021-07-16,142.50920
2021-07-15,142.38060
2021-07-14,142.29680
2021-07-13,142.29480
2021-07-12,142.16020
2021-07-09,142.20290
2021-07-08,142.16960
2021-07-07,142.02180
2021-07-06,141.94200
2021-07-05,142.02290
2021-07-02,141.92450
2021-07-01,141.95150
2021-06-30,141.90210
2021-06-29,155.11370
2021-06-28,155.12580
2021-06-25,155.14620
2021-06-24,155.18140
2021-06-23,155.15730
2021-06-22,155.15060
2021-06-21,155.19520
2021-06-18,155.12210
2021-06-17,155.07260
2021-06-16,155.08430
2021-06-15,155.29610
2021-06-14,155.42900
2021-06-11,155.37550
2021-06-10,155.31610
2021-06-09,155.26990
2021-06-08,155.13830
2021-06-07,155.11170
2021-06-04,154.98690
2021-06-03,154.93840
2021-06-02,154.86320
2021-06-01,154.85060
2021-05-31,154.85910
2021-05-28,154.83250
2021-05-27,154.83360
2021-05-25,154.78300
2021-05-24,154.70690
2021-05-21,154.64170
2021-05-20,154.60730
2021-05-19,154.59900
2021-05-18,154.46380
2021-05-17,154.40020
2021-05-14,154.33090
2021-05-12,154.33110
2021-05-11,154.34100
2021-05-10,154.23720
2021-05-07,154.19030
2021-05-06,154.14950
2021-05-05,154.12320
2021-05-04,154.07420
2021-05-03,154.05010
2021-04-30,153.95100
2021-04-29,153.86460
2021-04-28,153.85570
2021-04-27,153.76340
2021-04-26,153.63530
2021-04-23,153.45900
2021-04-22,153.37660
2021-04-20,153.32200
2021-04-19,153.27880
2021-04-16,153.14450
2021-04-15,153.21820
2021-04-12,153.32590
2021-04-09,153.26090
2021-04-08,153.16970
2021-04-07,153.14540
2021-04-06,153.21010
2021-04-05,153.00690
2021-03-31,152.74570
2021-03-30,152.65790
2021-03-26,152.53440
2021-03-25,152.45140
2021-03-24,152.38470
2021-03-23,152.22430
2021-03-22,151.84790
2021-03-19,151.63870
2021-03-18,151.39010
2021-03-17,151.34730
2021-03-16,151.31720
2021-03-15,151.33810
2021-03-12,151.63230
2021-03-10,151.71200
2021-03-09,151.71480
2021-03-08,151.72160
2021-03-05,151.66820
2021-03-04,151.69710
2021-03-03,151.66820
2021-03-02,151.62920
2021-03-01,151.54740
2021-02-26,151.48360
2021-02-25,159.52860
2021-02-24,159.51550
2021-02-23,159.49450
2021-02-22,159.57960
2021-02-18,159.79640
2021-02-17,159.84890
2021-02-16,159.88680
2021-02-15,159.81700
2021-02-12,159.74500
2021-02-11,159.67600
2021-02-10,159.53240
2021-02-09,159.52330
2021-02-08,159.66720
2021-02-05,159.56310
2021-02-04,159.74730
2021-02-03,159.74690
2021-02-02,159.67450
2021-02-01,160.06120
2021-01-29,160.59770
2021-01-28,160.58330
2021-01-27,160.55090
2021-01-25,160.52320
2021-01-22,160.47480
2021-01-21,160.52050
2021-01-20,160.48460
2021-01-19,160.39180
2021-01-18,160.37760
2021-01-15,160.61120
2021-01-14,160.68850
2021-01-13,160.90460
2021-01-12,160.94950
2021-01-11,161.12590
2021-01-08,161.37750
2021-01-07,161.28210
2021-01-06,161.22950
2021-01-05,161.23130
2021-01-04,161.04390
2021-01-01,160.89970
